ID,Model 1 R^2,Model 2 R^2,Model 3 R^2,Model 4 R^2,Model 5 R^2,Model 6 R^2,Model 7 R^2,Model 8 R^2,Model 1 BIC,Model 2 BIC,Model 3 BIC,Model 4 BIC,Model 5 BIC,Model 6 BIC,Model 7 BIC,Model 8 BIC,Pop_Size_units,Temp_C,Medium,Species,Repeat,Citation,N05,Nmax5,Rmax5,Tlag5,N06,Nmax6,Rmax6,Tlag6,N07,Nmax7,Rmax7,Tlag7,N08,Nmax8,Rmax8,Tlag8
73461,0.425,0.746,0.861,0.865,0.78,0.986,0.986,0.976,48.67,40.61,35.34,37.55,38.72,5.211,5.211,12.64,N,16,ESAW,Tetraselmis tetrahele,4,"Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697.",8.233052582171563,14.111966952380248,0.013918201145756967,1.2572777747863855,9.873448844711366,14.148099854014315,0.6176471135131953,184.2523952749122,9.873448736401379,14.148099497869701,0.23742337599126542,165.57661987648328,10.105900903810804,14.14809947809123,0.06195155818130081,101.49204994507699
73549,0.755,0.94,0.958,0.988,0.98,0.99,0.994,0.994,28.75,20.78,20.29,13.6,13.18,10.22,6.387,6.328,CFU,4,Salted Chicken Breast,Pseudomonas spp.,1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.066862220663209,7.196903578112971,0.02473387011155191,0.06379678089402253,1.0873123967444038,7.171221976943322,0.1239345248502967,143.9609891128047,1.0241782913601813,7.090567234980127,0.10373700728440673,135.23816948183264,1.0241878993819877,7.08601543032974,0.10033239814211038,132.42675773664538
74252,0.403,0.783,0.926,0.95,0.821,0.819,0.803,0.831,-37.94,-50.43,-63.8,-67.1,-53.31,-50.39,-49.12,-51.41,OD_595,35,TSB,Stenotrophomonas.maltophilia..RDA.R.,1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.020071017558177792,0.20759726747471938,0.21797713084845535,0.012081509804101918,0.00426320871636482,0.20759726747471938,0.027806058729225085,1.3972055888223702,1.1097577292556523e-4,0.20759726747471938,0.09207836631244717,1.3972055888223702,0.016035539696950086,0.20759726747471938,0.02169004218612309,1.3972055888223702
74539,0.809,0.976,0.981,0.982,0.951,0.955,0.972,0.958,-31.68,-60.34,-61.06,-58.85,-49.29,-48.1,-54.92,-49,OD_595,35,TSB,Chryseobacterium.balustinum,1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.05257600172124714,0.4143232660940769,0.07442752439281201,0.011259555105938897,0.023805345638366004,0.4143232660940769,0.018147697882065886,1.09803921568628,0.01806465067787028,0.4143232660940769,0.043493670895621145,1.09803921568628,0.04562838678210433,0.4143232660940769,0.014224371517662537,1.09803921568628
75034,0.957,0.993,0.993,0.995,-0.272,0.977,0.988,0.943,9.62,0.5134,2.111,2.532,31.74,9.521,5.456,14.87,N,20,C02 Beef Striploins,Spoilage,1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",7.446279895172172,11.740861491309273,6.821285584493556,2.673455891109887,7.800424079443889,12.944299794168474,9.359268363247976,0.5968872272805473,7.7433075890275145,12.944299794168474,8.14800289987815,0.5115310988490299,8.163836502503436,12.327904565874737,12.327904565874737,0.878889485309548
75390,0.928,0.959,0.984,0.999,0.994,0.999,0.995,0.989,29.96,26.72,19.81,-5.994,7.248,-7.54,8.635,16.14,CFU,2,Salted Chicken Breast,Aerobic Psychotropic.,1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.2576260771496535,8.459805436948212,0.014978622894049293,0.0602926096489826,1.0199471129211408,8.606774779129552,0.07583793064572171,133.85830690501757,1.0540215695586874,8.222085842864205,0.06687516943973201,125.25929171852809,1.1039502287963519,8.379295947266572,0.05696498976163834,112.5789225486214
75402,0.656,0.982,0.997,0.997,0.934,0.942,0.946,0.933,-2.495,-43.83,-69.83,-67.15,-24.45,-23.78,-24.73,-21.66,OD_595,25,TSB,Clavibacter.michiganensis,1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.06975140509270326,0.8053610687733516,0.12866941708985868,0.023934750349849033,0,0.8053610687733516,0.05099590695906341,0.03772566492310858,0.01406739126606573,0.8053610687733516,0.07740861997887004,3.58974358974351,0.05384752104275005,0.8053610687733516,0.0345322521071689,0.10463919702024746
75483,0.898,0.945,0.96,0.977,0.951,0.97,0.973,0.983,-0.05833,-2.398,-2.639,-4.727,-3.299,-4.768,-5.579,-8.814,DryWeight,20,Z8,Oscillatoria agardhii Strain 97,1,"Sivonen, K., 1990. Effects of light, temperature, nitrate, orthophosphate, and bacteria on growth of and hepatotoxin production by Oscillatoria agardhii strains. Appl. Environ. Microbiol., 56(9), pp.2658-2666.",1.000136463043427,2.5501446055662544,0.0067436757736395745,0.12712844890737338,1.0903518618701777,2.410767962221577,0.012546410516690707,63.468419494680504,1.0929827269394645,2.373812388492362,0.01861335643411275,106.62738948497869,1.0846525804016143,2.348171231804628,0.009676074809553013,37.96299921867734
75538,0.139,0.771,0.817,0.838,0.116,0.0694,0.16,-0.555,-14.7,-31.83,-32.56,-31.63,-11.6,-8.125,-9.656,-0.4239,OD_595,25,TSB,Acinetobacter.clacoaceticus,2,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.11310946785071334,0.47187654099922105,0.008186864520690883,0.0453717617658441,0.07515061358363956,0.47187654099922105,0.0034373765271063835,0,0.09315422498039101,0.47187654099922105,0.00608585124242762,3.5897435897435885,0.044454229787210864,0.47187654099922105,0.013337104633542282,0
75914,0.962,0.982,0.995,0.995,0.315,0.989,0.995,0.994,71.25,61.54,45.68,47.84,120.2,56.13,45.32,45.77,N,12,MRS broth,Lactobacillus plantarum,1,"Silva, A.P.R.D., Longhi, D.A., Dalcanton, F. and Aragão, G.M.F.D., 2018. Modelling the growth of lactic acid bacteria at different temperatures. Brazilian Archives of Biology and Technology, 61.",5.590742756155176e-5,29.406113571143386,0.11282281691071411,6.916718362329766e-4,7.138563802122159,32.42024021218559,0.25993702035029487,39.04714862473474,6.449717569274301,30.803254601582616,0.21346328609492607,11.917266434817453,6.478094884503941,30.87182870719834,0.21106880974818232,11.384243520618812
75949,0.829,0.914,0.935,0.989,0.981,0.998,0.996,0.994,43.08,37.98,37.25,20.53,21.16,-1.013,6.585,11.74,CFU,2,Salted Chicken Breast,Pseudomonas spp.,1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.14618366309752562,8.351847233843522,0.019087475484195187,0.082616380958747307,1.1265672681992707,8.298532184919665,0.11157599222464074,147.75513199686154,1.1146815315154128,8.179812742358779,0.09298620265949276,138.274412664289,1.1318514938054949,8.216028981876951,0.08281606578072032,131.73373551065384
76850,0.924,0.966,0.987,0.996,0.985,0.997,0.994,0.994,45.6,37.69,27.46,14.61,26.91,9.908,18.4,18.21,CFU,10,Raw Chicken Breast,Pseudomonas spp.,1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.1866719478921716,10.386286394400832,0.05341236745890405,0.07927226646980483,0.8728230588526206,11.014384729194015,0.2688565345180985,38.683265140820545,0.914211486846855,10.686409869249163,0.2163054805108189,31.767301965420383,0.9915446551275492,10.704491959720729,0.21156593694844888,31.369445766374543
77068,0.942,0.972,0.991,0.994,-0.162,0.991,0.99,0.992,11.07,7.881,1.668,0.5759,34.04,2.068,2.754,0.914,N,8,Vacuum Beef Striploins,Escherichia coli,1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",3.128400697007274,8.6657147255182,1.5102129287129327,2.024159604147547,5.112656572211253,9.553950484883817,2.565737598460089,1.8150891915371883,5.086151250193187,9.362177664629158,2.2496244552545126,1.6429287448511583,5.135215998833607,9.09900046179411,2.0815814564243498,1.525081120176852
77408,0.97,0.98,0.996,0.998,0.968,0.988,0.995,0.995,16.59,15.71,5.598,0.7608,19.2,13.28,6.428,6.663,CFU,20,Raw Chicken Breast,Aerobic Mesophilic.,1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.09205492748240404,8.789040430921679,0.18678584986106345,0.07826326847483356,1.5518739214758805,9.281642539392344,0.8033151354807143,16.38918561631855,1.1133129756720808,8.88478717793878,0.6373432656205691,12.439096664090629,1.2603945349883712,8.839659561326041,0.6133120802419159,12.485355119686341
77734,0.966,0.969,0.994,0.994,0.94,0.995,0.995,0.995,36.12,37.6,15.64,18.18,47.58,13.14,12.02,11.96,CFU,7,Salted Chicken Breast,Aerobic Psychotropic.,1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.11648803573940776,9.527737569910153,0.029907085572081032,0.1100195866474256,1.2069506938869763,10.504330670825944,0.11326487499494733,83.39434886054147,1.213313604660215,9.6959563149398509,0.09548624953399192,71.40825077939616,1.2308125186177625,9.654928308904491,0.09279744755273993,69.03234775085362
78784,6.22e-4,0.747,0.968,0.982,-0.0153,-0.121,-1e-10,-0.119,-26.22,-54.7,-99.38,-108.9,-22.72,-17.3,-19.93,-17.35,OD_595,15,TSB,Stenotrophomonas.maltophilia,2,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.24428516069582693,0.38962881760022283,8.536711182751442e-4,0.062395540316279335,0.009603596439970379,0.38962881760022283,0.012771318331129508,5.664710118608513,0.25554245066367415,0.4295657714042457,0.0032476983992765066,7145.152814260768,0.008661610029484098,0.38962881760022283,0.009739740125452805,0
79560,0.031,0.608,0.869,0.958,0.373,0.372,0.361,0.373,6.254,-13.15,-37.31,-62.29,-1.393,1.847,2.301,1.807,OD_595,15,TSB,Dickeya.zeae,1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.03005824458889072,0.7489735264260892,0.11638039586982679,0.05293484990370682,0.035072295930449554,0.7489735264260892,0.04734105696943013,9.12016903761577,0,0.7489735264260892,0.06633655526307011,9.12016903761577,0.041464150805664485,0.7489735264260892,0.037002372788862425,7.074838547799246
80113,0.958,0.979,0.995,0.996,0.947,0.989,0.996,0.996,25.41,21.38,10.06,10.05,29.62,18.06,7.53,7.823,CFU,15,Cooked Chicken Breast,Aerobic Psychotropic.,1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.12298606802069181,9.876903681891783,0.0887735022416041,0.11353200629002953,1.306873602381571,10.88928630928569,0.3721046729641151,29.689955944579125,1.2569199346608082,10.43875496174599,0.31091893313451524,25.265184906236186,1.285833053899122,10.370748865986371,0.2998277435043618,24.27723737513728
80160,0.87,0.967,0.982,0.999,0.688,0.835,0.874,0.881,23.14,16.69,14.73,-2.777,30.2,28.18,26.53,26.2,N,30,Vacuum Beef Striploins,Escherichia coli,1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",5.623633396758434,12.773988345054228,11.21730159332715,2.3380109229809523,7.388850261961114,14.083322150422287,13.41268776230694,0,7.274673374267339,13.398964496710882,13.41268776230694,0,7.501588842230289,13.299987962440888,13.41268776230694,1.925746958406033e-4
80461,0.839,0.995,0.995,0.996,0.986,0.991,0.983,0.989,-69.94,-143.8,-141.1,-141,-120.9,-126.3,-113.8,-122.1,OD_595,15,TSB,Bacillus.pumilus..RDA.R.,1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.022203064425845583,0.27945681215776136,0.019928936430283872,0.003918856581701123,0,0.28481062246768774,0.003175538488414032,10.161662817551813,0,0.3004786723159068,0.008119120478608226,10.161662817551813,0.011608077937644148,0.276179294485282,0.0025638247001636264,10.161662817551813
80822,0.498,0.749,0.837,0.837,0.684,0.969,0.969,0.968,43.29,37.49,34.81,37.23,40.24,14.73,14.73,15.17,N,16,ESAW,Tetraselmis tetrahele,2,"Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697.",9.308555523550844,13.860655534938314,0.015056559830003872,1.294840377047219,9.967164477664788,13.982806625342231,0.7133888251522372,171.07574785111646,9.96716438720717,13.982806590557493,0.2501492804814906,156.11539844193481,10.059483237273952,13.979694878095344,0.05585226953792017,84.01216900278801
81888,0.886,0.93,0.983,0.99,0.973,0.978,0.987,0.987,44.07,41.14,28.11,24.96,30.8,30.82,24.77,24.65,CFU,10,Cooked Chicken Breast,Aerobic Mesophilic.,1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.08824038238682595,11.238699848263781,0.06081429283003757,0.07011711313773702,0.7155133196230229,12.39066658271082,0.29258614688294715,41.167834343190634,0.9439444145054794,11.238699848263781,0.26935251838669405,40.8359331252137,0.9881179193983624,11.238699848263781,0.2683894882738155,41.054623281063726
82639,0.182,0.303,0.485,0.686,0.987,0.998,0.983,0.998,15.34,15.35,12.8,6.796,-56.34,-87.61,-48.38,-83.26,OD_595,35,TSB,Klebsiella.pneumonia..RDA.R.,1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.07632365957422256,0.9310710493362543,0.9349049717781152,0.015363264887236992,0.018987774754458876,0.923479373472974,0.6744168518988662,0.8383233532934471,0,0.923810692404017,0.9039188905332668,0.8383233532934471,0.06333858952497023,0.9157365157281417,0.5367516310554938,0.8383233532934471
83031,0.743,0.928,0.979,1,0.991,0.998,0.988,0.98,29.77,23.95,18.32,-13.24,11.57,5.459,14.85,17.93,N,15,UHT Full-fat Milk,Serratia marcescens,1,"Phillips, J.D. and Griffiths, M.W., 1987. The relation between temperature and growth of bacteria in dairy products. Food Microbiology, 4(2), pp.173-185.",0.3673794211780024,11.152190027123236,0.004383822917658008,0.18622042288622673,0.9981199267033936,11.07100145734553,0.03385928130441544,452.5461724896876,1.0066585414660751,10.669078750157357,0.02921103592705793,417.9992327827342,1.0074566377758754,11.202532687665226,0.021794837662190272,306.85372092544935
83855,0.959,0.998,0.998,0.999,0.885,0.997,0.996,0.996,29.88,11.77,11.36,12.43,39.13,15.85,17.11,17.11,CFU,2,APT Broth,Pseudomonas sp.,1,"Stannard, C.J., Williams, A.P. and Gibbs, P.A., 1985. Temperature/growth relationships for psychrotrophic food-spoilage bacteria. Food Microbiology, 2(2), pp.115-122.",0.6147841731393667,18.185982433203574,0.050399392218497284,2.9626941861243603,0.16732627705513728,20.050045632606942,0.16779513657177283,0,1.2522348120882336,19.094063986707493,0.1386974634228493,0,1.2528365478129428,19.095281554863753,0.1386946438402099,0
83967,0.933,0.989,0.994,0.994,0.393,0.992,0.992,0.991,77.82,51.96,44.97,47.08,115.9,48.6,49.32,51.02,N,20,MRS broth,Lactobacillus plantarum,1,"Silva, A.P.R.D., Longhi, D.A., Dalcanton, F. and Aragão, G.M.F.D., 2018. Modelling the growth of lactic acid bacteria at different temperatures. Brazilian Archives of Biology and Technology, 61.",1.351771752176238e-4,30.21322931190172,0.5282591041907619,0.00162023834368432,5.2773893670125185,33.31008531637165,1.255093692744614,2.4177198788662677,5.8511707670591395,30.81337542217894,1.042320127530772,0,6.1038916691637715,31.246302211857802,1.011990173677632,5.382152405733464e-4
84510,0.303,0.874,0.961,0.968,0.722,0.729,0.554,0.713,-41.52,-64.44,-79.24,-79.38,-52.57,-50.25,-42.8,-49.41,OD_595,25,TSB,Acinetobacter.clacoaceticus..RDA.R.,1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.02666578772318298,0.18392699601946205,0.19312334582043517,0.015149680315921272,0.007053065882556709,0.18392699601946205,0.02234856536912446,0.0771591009231091,0.045128102161290054,0.18392699601946205,0.023733904816229463,0,0.021430967303157585,0.18392699601946205,0.014731247903805252,0
85141,0.0721,0.762,0.86,0.862,0.395,0.397,0.387,0.392,-8.8,-27.83,-33.5,-30.97,-12.86,-10.16,-9.882,-10.02,OD_595,35,TSB,Pectobacterium.carotovorum.subsp..Carotovorum.Pcc2,1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.02069531100343201,0.42884287719046105,0.35730885580720373,0.035011390494691465,0.06680759990396626,0.42884287719046105,0.1501320391215435,6.134135472370759,0.01696270284757395,0.42884287719046105,0.2974609446792402,6.134135472370759,0.07090339894004279,0.42884287719046105,0.1411222756025569,6.134135472370759
85657,0.4,0.949,0.991,0.994,0.708,0.72,0.724,0.719,-21.36,-50.91,-70.77,-72.88,-28.15,-26.13,-26.31,-26.11,OD_595,25,TSB,Pseudomonas.fluorescens,1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.026336316150745755,0.3102006287086701,0.15105914563733677,0.020250127112122228,7.728306014082239e-4,0.3102006287086701,0.024493886456232294,0.9233095306516411,4.766107094958135e-4,0.3102006287086701,0.053162546048332295,0.0031851683754004064,0.015211535505997423,0.3102006287086701,0.01926352500333911,0.5308427521352406
86523,0.811,0.984,0.984,0.987,0.979,0.981,0.971,0.965,-135.8,-204.3,-201,-202.5,-196,-195.7,-183.8,-178,OD_595,5,TSB,Acinetobacter.clacoaceticus,1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.027776150819731824,0.16817603084208177,0.011216001653954798,0.0027276603384599175,0.017910207132732198,0.16817603084208177,0.0010828746913944631,0,0.013639305894796682,0.17349611243921834,0.005315060515356431,0,0.031038220228375067,0.16817603084208177,8.101042585811588e-4,0
87483,0.633,0.915,0.974,0.975,0.901,0.956,0.966,0.785,-186.8,-226,-257.2,-254.4,-221.5,-241.4,-249.4,-195.6,OD_595,5,TSB,Pectobacterium.carotovorum.subsp..Carotovorum.Pcc2,1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",3.1113211831865524e-5,0.054337893361946006,0.013306593984542033,4.8580735219230466e-5,0.005211107802567787,0.054337893361946006,4.961078749458212e-4,458.3545226252006,0.0048682969642312515,0.054337893361946006,0.018849363927959634,574.646411733892,0.008508667428209146,0.051750374623704895,0.0013267894181029573,574.646411733892
88296,0.763,0.913,0.914,0.915,0.882,0.852,0.881,0.83,-197.1,-222.9,-219.8,-216.6,-214,-204.1,-210.3,-200,OD_595,5,TSB,Acinetobacter.clacoaceticus..RDA.R.,1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.02547078069564758,0.07225295815185381,0.00676543147187435,0.00251218960999112,0.019121933542792093,0.07225295815185381,3.428142988277841e-4,0,0.021735536853550765,0.07225295815185381,0.006412432679009896,100.92330098574912,0.028272780477411122,0.07225295815185381,2.1164361851777928e-4,0
88712,0.882,0.934,0.986,0.989,0.555,0.995,0.99,0.975,26.24,24.11,15.27,15.27,37.49,8.49,12.69,19.22,N,6,UHT Skim Milk,Serratia marcescens,1,"Phillips, J.D. and Griffiths, M.W., 1987. The relation between temperature and growth of bacteria in dairy products. Food Microbiology, 4(2), pp.173-185.",0.3411624998360735,8.26203223616836,6.374657746653865e-4,1.6946195022972452,1.100499059561134,8.390402086689269,0.004490300570935628,5998.250332795386,1.1562759036292618,8.26203223616836,0.005136539339883426,6213.991030163664,0.984652579989337,8.675133847976777,0.002251509427887595,4616.739026030664
89208,0.826,0.995,0.996,0.999,0.663,0.999,0.991,0.99,84.08,38.28,35.11,10.96,95.95,17.03,48.31,49.18,N,16,MRS broth,Lactobacillus sakei,1,"Silva, A.P.R.D., Longhi, D.A., Dalcanton, F. and Aragão, G.M.F.D., 2018. Modelling the growth of lactic acid bacteria at different temperatures. Brazilian Archives of Biology and Technology, 61.",4.041293697904586,29.216273199336634,0.2998974646976718,4.1673896346985355,5.2820964374159765,30.665341649025528,1.3934569168373474,0.9030365894277783,7.213456782877451,30.124797115383604,0.9851444429709625,0,7.216945601648186,30.20147310983821,0.9774208242945692,0
89518,0.939,0.965,0.996,1,0.961,0.996,0.999,0.999,30.83,29.35,17.57,-54.1,29.95,17.39,6.534,6.567,CFU,6,APT Broth,Pseudomonas sp.,1,"Stannard, C.J., Williams, A.P. and Gibbs, P.A., 1985. Temperature/growth relationships for psychrotrophic food-spoilage bacteria. Food Microbiology, 2(2), pp.115-122.",0.01281231790106313,20.0992633714328,0.10825601021287011,0.06669904017361374,0.9640853021298479,20.917687472182283,0.5650197414752981,29.56356550199853,1.0608448423251018,20.338099390767567,0.4839225871559787,25.057385299264297,1.0667083229674972,20.338099349507694,0.4842096868343329,25.1071391637348
89614,0.505,0.758,0.801,0.848,0.856,0.739,0.735,0.752,43.24,35.24,35.01,33.65,27.48,39.03,39.28,38.29,N,25,ESAW,Tetraselmis tetrahele,4,"Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697.",8.247381276007388,13.35338175151049,0.022322190544481348,0.7234729500067415,10.257242863260705,13.611864255001151,0.021314611558306048,0,10.600819203740825,13.587507526041156,0.016001515815713224,0,10.440121032009646,13.554048118140573,0.020701293482395196,6.650423902256258
89711,0.552,0.843,0.942,0.966,0.989,0.989,0.989,0.988,4.306,-9.694,-22.96,-28.79,-52.8,-49.8,-48.87,-48.52,OD_595,25,TSB,Dickeya.zeae..RDA.R.,1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.012300241934810476,0.8104478313038453,0.46793101780453017,0.005159180681667043,0.04288807782535388,0.8104478313038453,0.209028558130655,4.879623741483584,0.005298561344644277,0.8104478313038453,0.4595356042948406,6.860870884539507,0.04695197067038452,0.8104478313038453,0.1886247670928617,4.546672618123779
89930,0.333,0.782,0.924,0.935,0.847,0.975,0.935,0.977,-19.96,-49.06,-76.22,-77.18,-59.32,-107.9,-80.73,-110.6,OD_595,5,TSB,Pantoea.agglomerans,1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.009170035936086823,0.6337214129213037,0.04500151611042936,0.010334917547587374,0.0031038276577539537,0.5748040026497085,0.017989313088830932,46.98795180722894,0,0.5748040026497085,0.03127700183809097,46.98795180722894,0.021301443591492955,0.5748040026497085,0.014809430347429056,46.98795180722894
90128,0.972,0.973,0.994,0.995,0.891,0.996,0.993,0.989,19.31,20.99,9.894,10.78,33.59,6.056,11.19,15.14,CFU,20,Raw Chicken Breast,Staphylococcus spp.,1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.18343704459693477,9.381695129632918,0.17617740950166447,0.2329268645783167,2.181344514880221,10.343318880420293,0.6517927275875913,16.238608823739526,2.216258150601382,9.764852901571102,0.5377830861329949,14.3881793906311,2.059012871703449,9.732408404297225,0.49002229344223736,11.77786166818892
90395,0.876,0.98,0.984,0.991,0.87,0.992,0.98,0.98,406.5,212,195.5,139.9,416.2,125.9,220.5,216.4,N,20,MRS,Lactobaciulus plantarum,1,"Zwietering, M.H., De Wit, J.C., Cuppers, H.G.A.M. and Van't Riet, K., 1994. Modeling of bacterial growth with shifts in temperature. Appl. Environ. Microbiol., 60(1), pp.204-213.",0.39791327481414746,13.69208232713184,0.25610102349075103,0.11404249952208767,1.5710273569893798,13.69208232713184,1.2183702350899102,5.98712505810964,2.1360336584967246,13.69208232713184,1.007631725043159,5.98712505810964,1.6291196193452302,13.69208232713184,0.9367585496748717,3.7105623585030987
91131,0.939,0.939,0.994,0.996,0.969,0.991,0.995,0.992,28.67,30.88,9.941,7.771,24.26,13.81,8.742,13.05,CFU,2,Salted Chicken Breast,Aerobic Mesophilic.,1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.12620250104591355,8.704821180313015,0.015558142052038208,0.08531094608245775,1.3926326098339983,9.07118091368298,0.07851604271770338,195.37081872632197,1.3494188090489627,8.625532471986794,0.06647967208774237,178.30216619198043,1.2943628230160422,8.58513877589273,0.0608994014604309,162.49315263459917
